LABEL;METRIC;STATISTIC;VALUE
Amygdala;AUC;MEAN;0.9383999893968568
Amygdala;AUC;STD;0.02568868668006347
Amygdala;AVGDIST;MEAN;2.0473537656508234
Amygdala;AVGDIST;STD;0.2089523989488797
Amygdala;DICE;MEAN;0.5122655319381061
Amygdala;DICE;STD;0.038662452964281314
Amygdala;FN;MEAN;409.3
Amygdala;FN;STD;174.90686092889553
Amygdala;FP;MEAN;5150.45
Amygdala;FP;STD;442.22386581911206
Amygdala;HDRFDST;MEAN;21.994408480237247
Amygdala;HDRFDST;STD;2.626022773029194
Amygdala;JACRD;MEAN;0.34523439051169813
Amygdala;JACRD;STD;0.03497257117100978
Amygdala;SNSVTY;MEAN;0.8773938984809833
Amygdala;SNSVTY;STD;0.05136761545750763
Amygdala;SPCFTY;MEAN;0.9994060803127305
Amygdala;SPCFTY;STD;5.099095769716204e-05
Amygdala;TN;MEAN;8666808.15
Amygdala;TN;STD;454.8456084211432
Amygdala;TP;MEAN;2921.1
Amygdala;TP;STD;265.99302622437307
GreyMatter;AUC;MEAN;0.9222312615729946
GreyMatter;AUC;STD;0.008200213498585691
GreyMatter;AVGDIST;MEAN;0.3416973796531394
GreyMatter;AVGDIST;STD;0.014770427179764336
GreyMatter;DICE;MEAN;0.7069707554760813
GreyMatter;DICE;STD;0.009241336873354359
GreyMatter;FN;MEAN;60716.5
GreyMatter;FN;STD;8570.061297913802
GreyMatter;FP;MEAN;324610.1
GreyMatter;FP;STD;17516.670713637337
GreyMatter;HDRFDST;MEAN;2.0921625697782757
GreyMatter;HDRFDST;STD;0.1511812872638722
GreyMatter;JACRD;MEAN;0.5468342939879235
GreyMatter;JACRD;STD;0.011035386792548474
GreyMatter;SNSVTY;MEAN;0.8843018228754985
GreyMatter;SNSVTY;STD;0.018031348885228893
GreyMatter;SPCFTY;MEAN;0.9601607002704908
GreyMatter;SPCFTY;STD;0.002232722912029869
GreyMatter;TN;MEAN;7824339.3
GreyMatter;TN;STD;40277.23713352245
GreyMatter;TP;MEAN;465623.1
GreyMatter;TP;STD;29057.932008145384
Hippocampus;AUC;MEAN;0.9688162030036404
Hippocampus;AUC;STD;0.00911095917456965
Hippocampus;AVGDIST;MEAN;2.0485791888993274
Hippocampus;AVGDIST;STD;0.16969735528597354
Hippocampus;DICE;MEAN;0.5303223425293673
Hippocampus;DICE;STD;0.01425375401536473
Hippocampus;FN;MEAN;545.4
Hippocampus;FN;STD;188.1101804794201
Hippocampus;FP;MEAN;14298.25
Hippocampus;FP;STD;965.585101117452
Hippocampus;HDRFDST;MEAN;31.2675723625154
Hippocampus;HDRFDST;STD;4.651765100998063
Hippocampus;JACRD;MEAN;0.36096979323730183
Hippocampus;JACRD;STD;0.013113172594020695
Hippocampus;SNSVTY;MEAN;0.9392822639150158
Hippocampus;SNSVTY;STD;0.018268282052700743
Hippocampus;SPCFTY;MEAN;0.9983501420922654
Hippocampus;SPCFTY;STD;0.00011145079406887176
Hippocampus;TN;MEAN;8652065.95
Hippocampus;TN;STD;1256.7102480285582
Hippocampus;TP;MEAN;8379.4
Hippocampus;TP;STD;489.28073740951623
Thalamus;AUC;MEAN;0.9717012518206147
Thalamus;AUC;STD;0.005631637942733591
Thalamus;AVGDIST;MEAN;1.1721501461895123
Thalamus;AVGDIST;STD;0.08301649214432011
Thalamus;DICE;MEAN;0.7218838608931603
Thalamus;DICE;STD;0.019818347718112948
Thalamus;FN;MEAN;982.9
Thalamus;FN;STD;218.46530617011024
Thalamus;FP;MEAN;11971.05
Thalamus;FP;STD;1515.273984301189
Thalamus;HDRFDST;MEAN;30.949680309698476
Thalamus;HDRFDST;STD;4.076430880986757
Thalamus;JACRD;MEAN;0.5651800533852709
Thalamus;JACRD;STD;0.02431757126086736
Thalamus;SNSVTY;MEAN;0.9447852364339486
Thalamus;SNSVTY;STD;0.011378818484521267
Thalamus;SPCFTY;MEAN;0.998617267207281
Thalamus;SPCFTY;STD;0.00017503833552722672
Thalamus;TN;MEAN;8645570.35
Thalamus;TN;STD;1781.3744209177362
Thalamus;TP;MEAN;16764.7
Thalamus;TP;STD;687.6545717146073
WhiteMatter;AUC;MEAN;0.9580821655871572
WhiteMatter;AUC;STD;0.003702285114893536
WhiteMatter;AVGDIST;MEAN;0.2537827296907633
WhiteMatter;AVGDIST;STD;0.025679131321227254
WhiteMatter;DICE;MEAN;0.8171202128039372
WhiteMatter;DICE;STD;0.018261210205617485
WhiteMatter;FN;MEAN;30401.65
WhiteMatter;FN;STD;5864.145387650276
WhiteMatter;FP;MEAN;169405.4
WhiteMatter;FP;STD;20272.79472199134
WhiteMatter;HDRFDST;MEAN;3.3327028605156443
WhiteMatter;HDRFDST;STD;0.3051092320970355
WhiteMatter;JACRD;MEAN;0.6911866318277259
WhiteMatter;JACRD;STD;0.02576863693534067
WhiteMatter;SNSVTY;MEAN;0.9368246442729162
WhiteMatter;SNSVTY;STD;0.00953784217293514
WhiteMatter;SPCFTY;MEAN;0.9793396869013978
WhiteMatter;SPCFTY;STD;0.0024088117533295718
WhiteMatter;TN;MEAN;8027453.4
WhiteMatter;TN;STD;20413.447776894525
WhiteMatter;TP;MEAN;448028.55
WhiteMatter;TP;STD;26617.006951336585
